Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
100.00      0.01     0.01     3003     3.33     3.33  stui::Utility::makeBuffer(stui::Coordinate)
  0.00      0.01     0.00  3032167     0.00     0.00  stui::Tixel::Tixel()
  0.00      0.01     0.00   478368     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.01     0.00   322644     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.01     0.00   179606     0.00     0.00  std::vector<stui::Component*, std::allocator<stui::Component*> >::size() const
  0.00      0.01     0.00   161322     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.01     0.00   160721     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.01     0.00   160721     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.01     0.00   119922     0.00     0.00  stui::Tixel::operator=(unsigned int)
  0.00      0.01     0.00   109691     0.00     0.00  stui::Tixel::operator=(char)
  0.00      0.01     0.00    42000     0.00     0.00  __gnu_cxx::__normal_iterator<stui::Component**, std::vector<stui::Component*, std::allocator<stui::Component*> > >::base() const
  0.00      0.01     0.00    22558     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.01     0.00    21000     0.00     0.00  bool __gnu_cxx::operator!=<stui::Component**, std::vector<stui::Component*, std::allocator<stui::Component*> > >(__gnu_cxx::__normal_iterator<stui::Component**, std::vector<stui::Component*, std::allocator<stui::Component*> > > const&, __gnu_cxx::__normal_iterator<stui::Component**, std::vector<stui::Component*, std::allocator<stui::Component*> > > const&)
  0.00      0.01     0.00    19532     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.01     0.00    18804     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.01     0.00    16500     0.00     0.00  __gnu_cxx::__normal_iterator<stui::Component**, std::vector<stui::Component*, std::allocator<stui::Component*> > >::operator++()
  0.00      0.01     0.00    16500     0.00     0.00  __gnu_cxx::__normal_iterator<stui::Component**, std::vector<stui::Component*, std::allocator<stui::Component*> > >::operator*() const
  0.00      0.01     0.00    14234     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00    12950     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.01     0.00    11400     0.00     0.00  std::vector<stui::Component*, std::allocator<stui::Component*> >::operator[](unsigned long)
  0.00      0.01     0.00     9642     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.01     0.00     9338     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.01     0.00     9338     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.01     0.00     9338     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.01     0.00     9338     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.01     0.00     9338     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.01     0.00     9000     0.00     0.00  __gnu_cxx::__normal_iterator<stui::Component**, std::vector<stui::Component*, std::allocator<stui::Component*> > >::__normal_iterator(stui::Component** const&)
  0.00      0.01     0.00     8622     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* const&)
  0.00      0.01     0.00     8422     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00     8213     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
